Brand,may,jun,jul,aug,sep,oct,nov
Renew Life,0.010763,0.098529,0.109115,0.133579,0.13537,0.121183,0.115342
NUTREX HAWAII,0.092998,0.095593,0.148517,0.146782,0.096179,0.102971,0.114616
MICROINGREDIENTS,0.111359,0.079856,0.104406,0.10956,0.102041,0.11515956999999999,0.114033
NeoCell,0.118055,0.122388,0.16713,0.108152,0.130202,0.114244,0.104039
Now Foods,0.130158,0.071745,0.107849,0.132079,0.155872,0.142164,0.101996
Life Extension,0.078904,0.022985,0.121747,0.064536,0.074259,0.12527,0.098714
Natural Factors,0.087002,0.079807,0.157474,0.242774,0.141413,0.145079,0.090242
Natasha's,0.0,0.0,0.0,0.0,0.015887,0.033973,0.090039
REMfresh,0.0,0.0,0.0,0.0,0.0,0.0,0.087786
GreeNatr,0.091437,0.091311,0.088826,0.082177,0.08723,0.08485434,0.087771
Jigsaw Health,0.280457,0.289329,0.283202,0.26695,0.090462,0.110902,0.087088
Qunol,0.044277,0.043103,0.0,0.0,0.055856,0.084309,0.085204
Zahler,0.039053,0.04463,0.186126,0.179847,0.094742,0.065226,0.082157
Pure Synergy,0.060189,0.067083,0.063132,0.074919,0.062806,0.065565,0.077867
Mag-Ox 400,0.089784,0.140589,0.115131,0.115832,0.029075,0.242916,0.077195
Revly,0.0658376125,0.070723,0.069279,0.089829,0.057845,0.06595815333333334,0.072924
Citrucel?,0.0,0.039434,0.11515,0.136869,0.103138,0.067266,0.068907
Balancebreens,0.0,0.0,0.0,0.0,0.0,0.0,0.068894
OBF,0.0,0.0,0.045578,0.064816,0.057368,0.055994,0.067135
Nature's Potent,0.066541,0.068174,0.088188,0.085627,0.082426,0.069589,0.066342
New Nordic,0.063632,0.076868,0.068651,0.075266,0.072462,0.079538,0.066078
Viva Naturals,0.052899,0.024688,0.050749,0.062892,0.063976,0.09034796666666665,0.063967
Integrative Therapeutics,0.047385,0.043584,0.0551635,0.052717,0.061578,0.0542655,0.063281
Garlique,0.066663,0.083172,0.06625,0.068994,0.063066,0.076446,0.063202
Double Wood Supplements,0.053544,0.056516,0.029568,0.058669,0.074072,0.07309,0.062652
Endurance Products,0.044533,0.050816,0.056537,0.063114,0.057688,0.067375,0.062365
